site,tree,slope,core
JSDF,901,uphill,SOS-088
JSDF,901,downhill,SOS-089
JSDF,902,uphill,SOS-086
JSDF,902,downhill,SOS-087
JSDF,903,uphill,SOS-084
JSDF,903,downhill,SOS-085
JSDF,904,uphill,SOS-083
JSDF,904,downhill,SOS-082
JSDF,905,uphill,SOS-080
JSDF,905,downhill,SOS-081
JSDF,906,uphill,SOS-064
JSDF,906,downhill,SOS-063
JSDF,907,uphill,SOS-062
JSDF,907,downhill,SOS-061
JSDF,908,uphill,SOS-059
JSDF,908,downhill,SOS-057
ANG,931,uphill,SOS-077
ANG,931,downhill,SOS-076
ANG,932,uphill,SOS-079
ANG,932,downhill,SOS-078
ANG,933,uphill,SOS-058
ANG,933,downhill,SOS-065
ANG,934,uphill,SOS-067
ANG,934,downhill,SOS-066
ANG,935,uphill,SOS-068
ANG,935,downhill,SOS-069
ANG,936,uphill,SOS-071
ANG,936,downhill,SOS-070
ANG,937,uphill,SOS-072
ANG,937,downhill,SOS-073
ANG,938,uphill,SOS-075
ANG,938,downhill,SOS-074
ANG,939,uphill,SOS-100
ANG,939,downhill,SOS-099
ANG,940,uphill,SOS-098
ANG,940,downhill,SOS-097
ANG,941,uphill,SOS-106
ANG,941,downhill,SOS-105
ANG,942,uphill,SOS-108
ANG,942,downhill,SOS-107
ANG,943,uphill,SOS-109
ANG,943,downhill,SOS-111
ANG,944,uphill,SOS-112
ANG,944,downhill,SOS-110
ANG,945,uphill,SOS-113
ANG,945,downhill,SOS-114
ANG,946,uphill,SOS-115
ANG,946,downhill,SOS-116
ANG,947,uphill,SOS-117
ANG,947,downhill,SOS-118
ANG,948,uphill,SOS-120
ANG,948,downhill,SOS-119
ANG,949,uphill,SOS-103
ANG,949,downhill,SOS-101
ANG,950,uphill,SOS-102
ANG,950,downhill,SOS-104
PRS,951,uphill,MBH-1150
PRS,951,downhill,MBH-1151
PRS,952,uphill,MBH-1152
PRS,952,downhill,MBH-1154
PRS,953,uphill,MBH-1153
PRS,953,downhill,MBH-1155
PRS,954,uphill,MBH-1156
PRS,954,downhill,MBH-1158
PRS,961,uphill,MBH-1182
PRS,961,downhill,MBH-1183
PRS,955,uphill,MBH-1157
PRS,955,downhill,MBH-1159
PRS,956,uphill,MBH-1160
PRS,956,downhill,MBH-1161
PRS,957,uphill,MBH-1162
PRS,957,downhill,MBH-1163
PRS,970,uphill,MBH-1164
PRS,970,downhill,MBH-1165
PRS,969,uphill,MBH-1166
PRS,969,downhill,MBH-1167
PRS,968,uphill,MBH-1168
PRS,968,downhill,MBH-1169
PRS,967,uphill,MBH-1170
PRS,967,downhill,MBH-1171
PRS,966,uphill,MBH-1172
PRS,966,downhill,MBH-1173
PRS,965,uphill,MBH-1174
PRS,965,downhill,MBH-1175
PRS,964,uphill,MBH-1176
PRS,964,downhill,MBH-1177
PRS,963,uphill,MBH-1178
PRS,963,downhill,MBH-1179
PRS,962,uphill,MBH-1180
PRS,962,downhill,MBH-1181
PRS,960,uphill,MBH-1184
PRS,960,downhill,MBH-1185
PRS,959,uphill,MBH-1186
PRS,959,downhill,MBH-1187
PRS,958,uphill,MBH-1188
PRS,958,downhill,MBH-1189
PRS,971,uphill,MBH-1190
PRS,971,downhill,MBH-1191
SQL,972,uphill,MBH-1192
SQL,972,downhill,MBH-1193
SQL,973,uphill,MBH-1194
SQL,973,downhill,MBH-1195
SQL,974,uphill,MBH-1196
SQL,974,downhill,MBH-1197
SQL,975,uphill,MBH-1198
SQL,975,downhill,MBH-1199
SQL,976,uphill,MBH-1200
SQL,976,downhill,MBH-1201
SQL,977,uphill,MBH-1202
SQL,977,downhill,MBH-1203
SQL,978,uphill,MBH-1204
SQL,978,downhill,MBH-1205
SQL,979,uphill,MBH-1206
SQL,979,downhill,MBH-1207
SQL,980,uphill,MBH-1208
SQL,980,downhill,MBH-1209
SQL,981,uphill,MBH-1210
SQL,981,downhill,MBH-1211
SQL,982,uphill,MBH-1212
SQL,982,downhill,MBH-1213
SQL,983,uphill,MBH-1214
SQL,983,downhill,MBH-1215
SQL,984,uphill,MBH-1216
SQL,984,downhill,MBH-1217
SQL,985,uphill,MBH-1218
SQL,985,downhill,MBH-1219
SQL,986,uphill,MBH-1220
SQL,986,downhill,MBH-1221
SQL,987,uphill,MBH-1222
SQL,987,downhill,MBH-1223
SQL,988,uphill,MBH-1224
SQL,988,downhill,MBH-1225
SQL,989,uphill,MBH-1226
SQL,989,downhill,MBH-1227
SQL,990,uphill,MBH-1228
SQL,990,downhill,MBH-1229
SQL,991,uphill,MBH-1230
SQL,991,downhill,MBH-1231
ANG,931,uphill,MBH-1321
ANG,931,downhill,MBH-1322
ANG,932,uphill,MBH-1317
ANG,932,downhill,MBH-1320
ANG,933,uphill,MBH-1335
ANG,933,downhill,MBH-1336
ANG,934,uphill,MBH-1319
ANG,934,downhill,MBH-1315
ANG,935,uphill,MBH-1318
ANG,935,downhill,MBH-1316
ANG,936,uphill,MBH-1333
ANG,936,downhill,MBH-1334
ANG,937,uphill,MBH-1340
ANG,937,downhill,MBH-1341
ANG,938,uphill,MBH-1339
ANG,938,downhill,MBH-1343
ANG,939,uphill,MBH-1342
ANG,939,downhill,MBH-1344
ANG,940,uphill,MBH-1337
ANG,940,downhill,MBH-1338
ANG,941,uphill,MBH-1331
ANG,941,downhill,MBH-1332
ANG,942,uphill,MBH-1324
ANG,942,downhill,MBH-1323
ANG,943,uphill,MBH-1330
ANG,943,downhill,MBH-1329
ANG,944,uphill,MBH-1326
ANG,944,downhill,MBH-1325
ANG,945,uphill,MBH-1327
ANG,945,downhill,MBH-1328
ANG,946,uphill,MBH-1351
ANG,946,downhill,MBH-1352
ANG,947,uphill,MBH-1353
ANG,947,downhill,MBH-1354
ANG,948,uphill,MBH-1345
ANG,948,downhill,MBH-1347
ANG,949,uphill,MBH-1350
ANG,949,downhill,MBH-1348
ANG,950,uphill,MBH-1346
ANG,950,downhill,MBH-1349
PRS,951,uphill,MBH-1232
PRS,951,downhill,MBH-1233
PRS,952,uphill,MBH-1234
PRS,952,downhill,MBH-1235
PRS,953,uphill,MBH-1236
PRS,953,downhill,MBH-1237
PRS,954,uphill,MBH-1238
PRS,954,downhill,MBH-1239
PRS,961,uphill,MBH-1260
PRS,961,downhill,MBH-1261
PRS,955,uphill,MBH-1240
PRS,955,downhill,MBH-1241
PRS,956,uphill,MBH-1242
PRS,956,downhill,MBH-1243
PRS,970,uphill,MBH-1270
PRS,970,downhill,MBH-1271
PRS,969,uphill,MBH-1250
PRS,969,downhill,MBH-1251
PRS,968,uphill,MBH-1248
PRS,968,downhill,MBH-1249
PRS,967,uphill,MBH-1246
PRS,967,downhill,MBH-1247
PRS,966,uphill,MBH-1252
PRS,966,downhill,MBH-1253
PRS,965,uphill,MBH-1254
PRS,965,downhill,MBH-1255
PRS,964,uphill,MBH-1256
PRS,964,downhill,MBH-1257
PRS,963,uphill,MBH-1258
PRS,963,downhill,MBH-1259
PRS,962,uphill,MBH-1262
PRS,962,downhill,MBH-1263
PRS,960,uphill,MBH-1264
PRS,960,downhill,MBH-1265
PRS,959,uphill,MBH-1268
PRS,959,downhill,MBH-1269
PRS,958,uphill,MBH-1266
PRS,958,downhill,MBH-1267
PRS,971,uphill,MBH-1244
PRS,971,downhill,MBH-1245
SQL,972,uphill,MBH-1283
SQL,972,downhill,MBH-1284
SQL,973,uphill,MBH-1281
SQL,973,downhill,MBH-1282
SQL,974,uphill,MBH-1279
SQL,974,downhill,MBH-1280
SQL,975,uphill,MBH-1277
SQL,975,downhill,MBH-1278
SQL,976,uphill,MBH-1275
SQL,976,downhill,MBH-1276
SQL,977,uphill,MBH-1285
SQL,977,downhill,MBH-1286
SQL,978,uphill,MBH-1287
SQL,978,downhill,MBH-1288
