Sample Location,Sample Description #1,Lab Number,Total Exchange Capacity (meq/100 g),pH,Organic Matter (%),Estimated Nitrogen Release (# N/acre),S* (ppm),P* (mg/kg),Bray II P (mg/kg),Ca* (mg/kg),Mg* (mg/kg),K* (mg/kg),Na* (mg/kg),Ca** (%),Mg** (%),K** (%),Na** (%),Other Bases** (%),H** (%),B* (mg/kg),Fe* (mg/kg),Mn* (mg/kg),Cu* (mg/kg),Zn* (mg/kg),Al* (mg/kg)
mbh_oct_2024,1355,0890-1,17.86,5.3,5.82,104,5,45,64,1434,274,234,38,40.15,12.78,3.36,0.93,6.8,36,0.38,335,60,0.95,2.85,773
mbh_oct_2024,1357,0891-1,15.54,5.8,9.72,124,5,96,136,1796,202,249,17,57.79,10.83,4.11,0.48,5.8,21,0.41,295,53,0.74,1.64,1014
mbh_oct_2024,1359,0892-1,24.09,5.7,9.24,121,5,83,91,2567,384,291,19,53.28,13.28,3.1,0.34,6,24,0.42,276,55,0.78,2.73,795
mbh_oct_2024,1361,0893-1,15.12,5.7,6.6,108,5,78,96,1625,206,260,17,53.74,11.35,4.41,0.49,6,24,0.41,268,129,0.69,2.17,903
mbh_oct_2024,1363,0894-1,13.00,5.7,6.9,110,5,102,133,1357,196,241,15,52.19,12.56,4.75,0.5,6,24,0.39,316,84,0.66,1.32,1137
mbh_oct_2024,1365,0895-1,16.42,5.2,14.1,127,7,86,95,1204,231,322,22,36.66,11.72,5.03,0.58,7,39,0.56,313,118,0.53,2.67,1129
mbh_oct_2024,1367,0896-1,19.65,6,11.66,126,5,155,205,2463,302,284,18,62.67,12.81,3.71,0.4,5.4,15,0.52,356,79,0.49,1.84,966
mbh_oct_2024,1369,0897-1,15.93,5.8,10.17,125,5,183,258,1851,181,321,17,58.1,9.47,5.17,0.46,5.8,21,0.46,322,107,0.48,1.52,1251
mbh_oct_2024,1371,0898-1,14.66,5.9,11.53,126,6,32,41,1757,188,301,18,59.92,10.69,5.26,0.53,5.6,18,0.41,209,66,0.32,1.82,990
mbh_oct_2024,1373,0899-1,21.75,5.7,11.51,126,7,120,165,2318,344,272,17,53.29,13.18,3.21,0.34,6,24,0.37,296,80,0.78,1.92,1099
mbh_oct_2024,1375,0900-1,19.32,5.7,10.23,125,5,178,229,2115,259,279,17,54.74,11.17,3.7,0.38,6,24,0.48,363,71,0.89,1.84,1050
mbh_oct_2024,1377,0901-1,19.59,6,7.42,112,6,274,354,2411,324,298,18,61.54,13.78,3.9,0.4,5.4,15,0.51,408,54,0.55,0.85,1194
mbh_oct_2024,1379,0902-1,18.96,5.3,5.6,103,6,110,146,1527,275,326,19,40.27,12.09,4.41,0.44,6.8,36,0.41,351,169,0.61,3.3,734
mbh_oct_2024,1381,0903-1,19.95,6,8.27,116,6,234,251,2365,370,347,19,59.27,15.46,4.46,0.41,5.4,15,0.5,356,89,0.52,2.03,971
mbh_oct_2024,1383,0904-1,19.25,5.6,6.17,106,6,115,130,1950,272,298,18,50.65,11.77,3.97,0.41,6.2,27,0.44,342,104,0.84,1.99,928
mbh_oct_2024,1385,0905-1,17.05,5.7,20.18,> 130,6,29,37,1995,169,187,17,58.5,8.26,2.81,0.43,6,24,0.44,191,79,0.8,1.66,1202
mbh_oct_2024,1387,0906-1,16.04,5.5,22.06,> 130,6,23,28,1729,129,158,17,53.9,6.7,2.53,0.46,6.4,30,0.26,172,97,0.61,1.78,1219
mbh_oct_2024,1389,0907-1,19.84,6.1,19.43,130,6,9,9,2722,209,275,17,68.6,8.78,3.55,0.37,5.2,13.5,0.4,157,65,0.89,1.15,1206
